"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"136","ENSMUSG00000072115",239.961538763117,-2.03827474109974,0.766215795334615,0.000213544426303775,0.00693225212001014,"Ang"
"137","ENSMUSG00000085913",20.0739858392891,-2.47129880560662,0.941304148920513,0.000214248201260733,0.00694075822311058,NA
"138","ENSMUSG00000004552",53.2211016821476,-1.89829068156988,0.70872456735438,0.000232240099252237,0.00738655149686466,"Ctse"
"139","ENSMUSG00000024975",290.104701938117,-1.58469340115569,0.582678738708156,0.000244556052031349,0.0076849293790331,"Pdcd4"
"140","ENSMUSG00000050777",733.463164900628,-2.20623532058986,0.856843319533786,0.000245677919431273,0.00768942523925133,"Tmem37"
"141","ENSMUSG00000097855",91.0956732678571,-2.50977040143095,0.997671330723695,0.000254930559860661,0.00790033324759509,"A930007I19Rik"
"142","ENSMUSG00000002504",18.5818051050762,-2.49055100520089,0.975749681107259,0.000257038055679507,0.00794996443078034,"Nherf2"
"143","ENSMUSG00000047591",24.6275578514288,-2.52935379963345,1.01256136233742,0.000277477895981695,0.0083565143009906,"Mafa"
"144","ENSMUSG00000021703",385.52299461354,-1.73320842530282,0.658205547664943,0.000281412780700275,0.00838632979354407,"Serinc5"
"145","ENSMUSG00000054619",1214.00468198797,-1.56720629510022,0.606854166402666,0.000291831538296261,0.00857057407422589,"Mettl7a1"
"146","ENSMUSG00000047986",11.9579944466736,-2.70958356018292,1.10992688499543,0.000301212729538465,0.00881313669740849,"Palm3"
"147","ENSMUSG00000045287",119.827366952995,-2.84071930524201,1.19684609062768,0.000311604985403608,0.00904979210843158,"Rtn4rl1"
"148","ENSMUSG00000086124",4.10087447259123,-3.74170274808029,1.42999561243304,0.000323438805892562,0.00930745516150903,NA
"149","ENSMUSG00000117575",70.5138295812037,-1.80622731843111,0.710305232023024,0.000338305787375165,0.00968207747037995,NA
"150","ENSMUSG00000116097",35.1123337501909,-2.35118968802796,0.959155960744778,0.000371781723395884,0.0104331722445222,"Gm36738"
"151","ENSMUSG00000062515",830.146587383434,-1.58390226790431,0.625740594740145,0.000374723092884488,0.0104722145124034,"Fabp4"
"152","ENSMUSG00000024610",24262.5695233424,-2.98895066469262,1.36151075586368,0.000377138141569611,0.0104722145124034,"Cd74"
"153","ENSMUSG00000021886",753.134545801554,-1.54888392737589,0.606458309599724,0.000382303615555814,0.0105381656273911,"Gpr65"
"154","ENSMUSG00000021876",2342.64177829571,-1.97133335167953,0.81649799244053,0.00039937997778533,0.0109131447147184,"Rnase4"
"155","ENSMUSG00000037868",655.664155305631,-2.19556498157481,0.933496243282041,0.000402152508699712,0.0109508149336046,"Egr2"
